ID,Horizontal_Distance_To_Fire_Points
49513387,4450
154482561,4099
170918549,3931
483460773,430
3421968690,242
5499677306,2051
6705225373,2448
7212205247,1050
7677453658,1080
10568709598,3960
11010485947,3930
11872738465,1922
11932179207,808
13257721895,960
13927948751,3556
14489896641,1657
14533450652,1718
15876934908,1242
16294458069,1231
17204753953,1170
18254775858,4124
18587689167,2376
18714428928,4010
19116118615,1374
20622356958,1231
21009804390,408
21606716089,1140
23003507048,1170
23453508077,914
25491478138,1939
26344741034,1082
27255398089,2932
27458388153,5250
27567489444,1110
29404828195,4320
31557514696,1231
32730748563,1560
32884041343,1980
33399879940,4320
33690075065,242
36954078703,242
37241643628,4320
37526064209,1050
37888408680,3570
38778495322,1931
38881753524,4010
39445652987,3773
41715580937,1931
41782178549,2335
42460352572,1374
43131085379,3773
43215929285,1931
43218269944,1956
44272236132,745
44291834111,4682
45863110497,1357
47936167179,1057
47960171005,1805
48605389311,1082
48706795356,997
49988516622,671
50178474646,1471
50185962297,1579
51137539291,1657
51254308022,1233
51485692242,5341
53407573721,3178
53617093644,1974
54815855423,2236
57570938929,1110
59358734242,1064
59805517756,1939
59904653621,1441
62251900775,1170
62294819713,5700
62340551963,430
63641439905,914
65036486778,1170
66421264513,3481
66933894253,2903
67770507511,1357
69622426407,430
70790301137,1939
70984767213,3511
71226250395,914
72414773115,1812
75305489676,658
75473973939,997
77614027136,1939
79230575862,5743
79615576477,2287
80701706821,4142
83060056231,1170
83287709439,1176
86819211905,1931
87501972029,3832
88214596632,3814
90027244686,1170
92915532844,785
93009805530,4860
93912328737,1463
94056108636,2205
95007997989,1892
97542872929,745
97690587164,700
98413925270,2132
98435157932,878
98898601119,895
100928655693,4452
102563430642,3115
102980609560,1945
103401327025,1082
107600110556,1057
108359814184,4142
109232629345,4110
109937572212,582
111017468179,960
113635763667,1824
114060742296,878
114246972325,960
114622005074,1677
114919291579,1865
119124592923,631
120173178150,1170
120174739398,953
125620283395,1284
126109810620,1677
126323123025,721
127278650468,1939
127375803095,1233
127674493201,1057
129387496043,830
129617305930,5341
132515758197,841
133757104902,997
134441063734,1231
135345474220,960
135855544925,1928
135942569459,2030
137155027535,631
138738130208,2018
139067422477,3773
141906524488,2287
142393479923,1170
142605257189,1020
143068056043,1471
